source_file,title_candidate,body_chars,best_collection,best_overlap,whole_body_contained,decision,selected_for_master
contos/macn078.txt,"Conto, Elogio da Vaidade, 1878",12088,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn079.txt,"Conto, Filosofia de um Par de Botas, 1878",11757,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn080.txt,"Conto, A Herança, 1878",16132,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn081.txt,"Conto, O Machete, 1878",22300,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn082.txt,"Conto, Folha Rota, 1878",14893,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn083.txt,"Conto, A chave, 1879",37466,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn084.txt,"Conto, O Caso da Viúva, 1881",36583,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn085.txt,"Conto, A mulher pálida, 1881",26684,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn086.txt,"Conto, O imortal, 1882",43202,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn087.txt,"Conto, Letra Vencida, 1882",21444,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn088.txt,"Conto, O programa, 1882",43002,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn089.txt,"Conto, A idéia do Ezequiel Maia, 1883",16142,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn090.txt,"Conto, Médico é remédio, 1883",11623,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn091.txt,"Conto, História comum, 1883",5848,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn092.txt,"Conto, O destinado, 1883",7466,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn093.txt,"Conto, Troca de datas, 1883",22894,contos/macn003.txt,0.0001,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn094.txt,"Conto, Questões de maridos, 1883",9030,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn095.txt,"Conto, Três conseqüências, 1883",7746,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn096.txt,"Conto, Vidros quebrados, 1883",9251,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn097.txt,"Conto, Cantiga velha, 1883",18136,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn098.txt,"Conto, Metafísica das Rosas, 1883",5818,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn099.txt,"Conto, Trina e Una, 1884",20503,contos/macn007.txt,0.0001,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn100.txt,"Conto, O contrato, 1884",7027,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn101.txt,"Conto, A Carteira, 1884",7341,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
contos/macn102.txt,"Conto, O Melhor Remédio, 1884",5863,contos/macn007.txt,0.0,False,sem sobreposição alta: possível texto adicional; requer revisão de escopo,True
